extreme_type,montha,flow_var,flow_mean,flow_max,flow_median
maximum,Aug,NA,174,174,174
maximum,Jul,3233.5897435897436,199.6153846153846,314,182
maximum,Jun,4279.0045439792275,218.36708860759492,466,213
maximum,May,1749.6,193.5,289,190.5
minimum,Apr,0.6944125000000001,6.16875,7.53,6.16
minimum,Dec,0.3901912087912087,6.187142857142857,7.88,6.09
minimum,Feb,0.9139497354497356,6.066428571428571,7.98,6.015000000000001
minimum,Jan,1.4800885714285714,6.498,8.41,6.68
minimum,Mar,1.0628876876876876,6.418918918918918,8.44,6.39
minimum,Nov,0.4995300000000001,6.106,7.16,6.14
minimum,NA,NA,NA,-Inf,NA
